"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Tefibazumab|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.06310412
0,6,0.1277522
0,9,0.191384
0,12,0.2542358
0,15,0.3164102
0,18,0.3148797
0,21,0.3112734
0,24,0.3082049
0,27,0.3054847
0,30,0.3030515
0,33,0.3008622
0,36,0.2988816
0,39,0.2970797
0,42,0.295433
0,45,0.2939215
0,48,0.2925288
0,51,0.2912411
0,54,0.2900469
0,57,0.288936
0,60,0.2878997
0,63,0.2869305
0,66,0.2860219
0,69,0.2851682
0,72,0.2843645
0,75,0.2836061
0,78,0.2828892
0,81,0.2822102
0,84,0.2815657
0,87,0.2809529
0,90,0.2803691
0,93,0.279812
0,96,0.2792794
0,99,0.2787694
0,102,0.2782803
0,105,0.2778105
0,108,0.2773583
0,111,0.2769226
0,114,0.2765019
0,117,0.2760952
0,120,0.2757015
0,135,0.2738963
0,150,0.2723005
0,165,0.2708519
0,180,0.2695094
0,195,0.2682456
0,210,0.267042
0,225,0.2658856
0,240,0.2647671
0,255,0.2636805
0,270,0.2626212
0,285,0.261586
0,300,0.2605723
0,315,0.259578
0,330,0.2586015
0,345,0.2576414
0,360,0.2566967
0,375,0.2557665
0,390,0.25485
0,405,0.2539465
0,420,0.2530555
0,435,0.2521763
0,450,0.2513084
0,465,0.2504515
0,480,0.2496051
0,495,0.2487689
0,510,0.2479424
0,525,0.2471256
0,540,0.246318
0,555,0.2455195
0,570,0.2447298
0,585,0.2439486
0,600,0.2431758
0,615,0.2424112
0,630,0.2416546
0,645,0.2409058
0,660,0.2401647
0,675,0.2394311
0,690,0.2387048
0,705,0.2379858
0,720,0.2372739
0,735,0.236569
0,750,0.2358709
0,765,0.2351796
0,780,0.234495
0,795,0.2338169
0,810,0.2331452
0,825,0.2324798
0,840,0.2318207
0,855,0.2311677
0,870,0.2305207
0,885,0.2298797
0,900,0.2292446
0,915,0.2286153
0,930,0.2279916
0,945,0.2273736
0,960,0.2267612
0,975,0.2261542
0,990,0.2255527
0,1005,0.2249565
0,1020,0.2243656
0,1035,0.2237799
0,1050,0.2231993
0,1065,0.2226238
0,1080,0.2220533
0,1095,0.2214878
0,1110,0.2209272
0,1125,0.2203714
0,1140,0.2198204
0,1155,0.219274
0,1170,0.2187324
0,1185,0.2181953
0,1200,0.2176628
0,1215,0.2171347
0,1230,0.2166111
0,1245,0.2160919
0,1260,0.2155771
0,1275,0.2150665
0,1290,0.2145601
0,1305,0.214058
0,1320,0.2135599
0,1335,0.213066
0,1350,0.2125761
