"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Tefibazumab|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.315522
0,6,0.6387633
0,9,0.9569167
0,12,1.271179
0,15,1.58205
0,18,1.574393
0,21,1.556357
0,24,1.541012
0,27,1.527403
0,30,1.51523
0,33,1.504276
0,36,1.494365
0,39,1.485345
0,42,1.477102
0,45,1.469534
0,48,1.462561
0,51,1.456112
0,54,1.450131
0,57,1.444565
0,60,1.439373
0,63,1.434516
0,66,1.429963
0,69,1.425684
0,72,1.421655
0,75,1.417853
0,78,1.414258
0,81,1.410852
0,84,1.407619
0,87,1.404545
0,90,1.401616
0,93,1.39882
0,96,1.396148
0,99,1.393589
0,102,1.391134
0,105,1.388775
0,108,1.386505
0,111,1.384317
0,114,1.382204
0,117,1.380162
0,120,1.378184
0,135,1.369113
0,150,1.361089
0,165,1.353801
0,180,1.347046
0,195,1.340686
0,210,1.334625
0,225,1.328801
0,240,1.323169
0,255,1.317697
0,270,1.312363
0,285,1.307149
0,300,1.302045
0,315,1.29704
0,330,1.292124
0,345,1.287292
0,360,1.282536
0,375,1.277852
0,390,1.273237
0,405,1.268686
0,420,1.264198
0,435,1.259769
0,450,1.255398
0,465,1.251082
0,480,1.24682
0,495,1.242609
0,510,1.238448
0,525,1.234335
0,540,1.230268
0,555,1.226248
0,570,1.222271
0,585,1.218338
0,600,1.214447
0,615,1.210597
0,630,1.206787
0,645,1.203017
0,660,1.199286
0,675,1.195592
0,690,1.191936
0,705,1.188316
0,720,1.184732
0,735,1.181183
0,750,1.177669
0,765,1.174189
0,780,1.170743
0,795,1.167329
0,810,1.163948
0,825,1.160599
0,840,1.157281
0,855,1.153993
0,870,1.150737
0,885,1.147511
0,900,1.144314
0,915,1.141146
0,930,1.138007
0,945,1.134897
0,960,1.131815
0,975,1.12876
0,990,1.125733
0,1005,1.122733
0,1020,1.119759
0,1035,1.116812
0,1050,1.113891
0,1065,1.110995
0,1080,1.108124
0,1095,1.105279
0,1110,1.102458
0,1125,1.099661
0,1140,1.096889
0,1155,1.09414
0,1170,1.091415
0,1185,1.088713
0,1200,1.086033
0,1215,1.083377
0,1230,1.080743
0,1245,1.078131
0,1260,1.075541
0,1275,1.072973
0,1290,1.070425
0,1305,1.067899
0,1320,1.065394
0,1335,1.06291
0,1350,1.060446
0,1365,1.058002
0,1380,1.055578
0,1395,1.053174
0,1410,1.050789
0,1425,1.048423
0,1440,1.046077
0,1455,1.043749
0,1470,1.04144
0,1485,1.03915
0,1500,1.036878
0,1515,1.034623
0,1530,1.032387
0,1545,1.030168
0,1560,1.027967
0,1575,1.025783
0,1590,1.023616
0,1605,1.021466
0,1620,1.019332
0,1635,1.017215
0,1650,1.015115
0,1665,1.01303
0,1680,1.010962
0,1695,1.008909
0,1710,1.006872
0,1725,1.004851
0,1740,1.002844
0,1755,1.000853
0,1770,0.9988775
0,1785,0.9969164
0,1800,0.9949699
0,1815,0.993038
0,1830,0.9911205
0,1845,0.9892172
0,1860,0.9873279
0,1875,0.9854527
0,1890,0.9835912
0,1905,0.9817433
0,1920,0.979909
0,1935,0.9780881
0,1950,0.9762803
0,1965,0.9744857
0,1980,0.9727041
0,1995,0.9709352
0,2010,0.9691791
0,2025,0.9674355
0,2040,0.9657044
0,2055,0.9639856
0,2070,0.962279
0,2085,0.9605845
0,2100,0.9589019
0,2115,0.9572312
0,2130,0.9555721
0,2145,0.9539247
0,2160,0.9522887
0,2175,0.950664
0,2190,0.9490507
0,2205,0.9474485
0,2220,0.9458573
0,2235,0.944277
0,2250,0.9427075
0,2265,0.9411487
0,2280,0.9396005
0,2295,0.9380628
0,2310,0.9365355
0,2325,0.9350185
0,2340,0.9335117
0,2355,0.9320149
0,2370,0.9305282
0,2385,0.9290513
0,2400,0.9275843
0,2415,0.926127
0,2430,0.9246792
0,2445,0.923241
0,2460,0.9218122
0,2475,0.9203927
0,2490,0.9189825
0,2505,0.9175814
0,2520,0.9161894
0,2535,0.9148064
0,2550,0.9134323
0,2565,0.912067
0,2580,0.9107104
0,2595,0.9093625
0,2610,0.9080231
0,2625,0.9066923
0,2640,0.9053698
0,2655,0.9040556
0,2670,0.9027497
0,2685,0.9014519
0,2700,0.9001623
