"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Tefibazumab|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.1577604
0,6,0.3193803
0,9,0.4784595
0,12,0.6355925
0,15,0.7910255
0,18,0.7871982
0,21,0.7781815
0,24,0.7705101
0,27,0.7637078
0,30,0.7576235
0,33,0.7521492
0,36,0.7471961
0,39,0.7426897
0,42,0.7385709
0,45,0.7347904
0,48,0.7313068
0,51,0.7280858
0,54,0.7250984
0,57,0.7223192
0,60,0.7197264
0,63,0.7173014
0,66,0.715028
0,69,0.712892
0,72,0.7108807
0,75,0.708983
0,78,0.7071889
0,81,0.7054893
0,84,0.7038762
0,87,0.7023422
0,90,0.7008809
0,93,0.6994863
0,96,0.6981531
0,99,0.6968765
0,102,0.695652
0,105,0.6944757
0,108,0.6933436
0,111,0.6922525
0,114,0.6911992
0,117,0.6901808
0,120,0.6891949
0,135,0.6846738
0,150,0.6806763
0,165,0.6770469
0,180,0.6736829
0,195,0.6705159
0,210,0.6674992
0,225,0.6646004
0,240,0.6617969
0,255,0.6590735
0,270,0.656419
0,285,0.6538249
0,300,0.6512848
0,315,0.6487929
0,330,0.6463451
0,345,0.6439384
0,360,0.64157
0,375,0.6392382
0,390,0.6369408
0,405,0.6346763
0,420,0.632443
0,435,0.6302394
0,450,0.6280642
0,465,0.6259161
0,480,0.6237944
0,495,0.621698
0,510,0.6196262
0,525,0.6175785
0,540,0.6155541
0,555,0.6135525
0,570,0.611573
0,585,0.6096151
0,600,0.6076784
0,615,0.6057623
0,630,0.6038661
0,645,0.6019894
0,660,0.6001323
0,675,0.5982939
0,690,0.5964736
0,705,0.5946715
0,720,0.5928873
0,735,0.5911204
0,750,0.5893705
0,765,0.5876377
0,780,0.5859215
0,795,0.5842216
0,810,0.5825379
0,825,0.5808702
0,840,0.579218
0,855,0.5775814
0,870,0.57596
0,885,0.5743535
0,900,0.5727618
0,915,0.5711846
0,930,0.5696218
0,945,0.5680731
0,960,0.5665383
0,975,0.5650172
0,990,0.5635097
0,1005,0.5620156
0,1020,0.5605347
0,1035,0.559067
0,1050,0.557612
0,1065,0.5561698
0,1080,0.5547403
0,1095,0.5533231
0,1110,0.5519183
0,1125,0.5505255
0,1140,0.5491447
0,1155,0.5477757
0,1170,0.5464185
0,1185,0.5450727
0,1200,0.5437384
0,1215,0.5424153
0,1230,0.5411032
0,1245,0.5398023
0,1260,0.5385122
0,1275,0.5372328
0,1290,0.535964
0,1305,0.5347058
0,1320,0.5334579
0,1335,0.5322204
0,1350,0.5309929
0,1365,0.5297755
0,1380,0.528568
0,1395,0.5273704
0,1410,0.5261824
0,1425,0.525004
0,1440,0.5238351
0,1455,0.5226755
0,1470,0.5215252
0,1485,0.5203841
0,1500,0.5192521
0,1515,0.518129
0,1530,0.5170147
0,1545,0.5159093
0,1560,0.5148125
0,1575,0.5137244
0,1590,0.5126446
0,1605,0.5115734
0,1620,0.5105104
0,1635,0.5094556
0,1650,0.508409
0,1665,0.5073704
0,1680,0.5063398
0,1695,0.505317
0,1710,0.504302
0,1725,0.5032948
0,1740,0.5022951
0,1755,0.501303
0,1770,0.5003183
0,1785,0.4993411
0,1800,0.4983711
0,1815,0.4974084
