"Time [h]","Measurement [mg/l]","Error [mg/l]"
1.25,247.7397,33.50694
6,215.7307,0
12,187.8599,18.15605
24,169.3571,12.13321
72,140.8794,11.84412
96,127.0168,12.27577
168,104.4699,7.483139
336,69.87489,8.541084
504,52.44932,5.735462
672,39.82602,3.84906
1008,25.47362,4.810568
1344,16.29371,3.301664
