"Time [h]","Measurement [mg/l]","Error [mg/l]"
1.25,124.0193,5.593964
6,122.6051,8.782104
12,106.7641,14.43988
24,97.36496,11.90272
72,75.57823,4.487007
96,66.58765,4.771439
168,58.01839,3.44371
336,42.06819,2.497547
504,28.4641,3.112619
672,23.43058,2.264486
1008,14.14702,1.913603
1344,9.923285,1.479364
