"Time [h]","Measurement [mg/l]","Error [mg/l]"
1.25,58.60735,5.664219
6,54.69136,6.684361
12,49.87463,4.820923
24,48.18296,5.270298
72,39.62135,15.10148
96,29.36267,3.589542
168,24.4306,3.304609
336,18.12777,2.451799
504,14.41449,2.921095
672,13.94464,4.446458
1008,8.616008,3.605131
1344,6.256439,3.014111
